"date","datatype","station","value","fl_m","fl_q","fl_so","fl_t","units"
"2017-04-18T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-04-19T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-04-20T00:00:00","PRCP","GHCND:AR000875850",10,"","","S","","mm_tenths"
"2017-04-21T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-04-26T00:00:00","PRCP","GHCND:AR000875850",391,"","","S","","mm_tenths"
"2017-04-27T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-05-03T00:00:00","PRCP","GHCND:AR000875850",3,"","","S","","mm_tenths"
"2017-05-04T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-05-08T00:00:00","PRCP","GHCND:AR000875850",1049,"","","S","","mm_tenths"
"2017-05-09T00:00:00","PRCP","GHCND:AR000875850",61,"","","S","","mm_tenths"
"2017-05-10T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-05-12T00:00:00","PRCP","GHCND:AR000875850",109,"","","S","","mm_tenths"
"2017-05-13T00:00:00","PRCP","GHCND:AR000875850",51,"","","S","","mm_tenths"
"2017-05-14T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-05-18T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-05-19T00:00:00","PRCP","GHCND:AR000875850",51,"","","S","","mm_tenths"
"2017-05-20T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-05-21T00:00:00","PRCP","GHCND:AR000875850",41,"","","S","","mm_tenths"
"2017-05-22T00:00:00","PRCP","GHCND:AR000875850",3,"","","S","","mm_tenths"
"2017-05-23T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-05-25T00:00:00","PRCP","GHCND:AR000875850",20,"","","S","","mm_tenths"
"2017-05-26T00:00:00","PRCP","GHCND:AR000875850",20,"","","S","","mm_tenths"
"2017-05-27T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-05-29T00:00:00","PRCP","GHCND:AR000875850",5,"","","S","","mm_tenths"
"2017-05-30T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-06-09T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-06-16T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-06-17T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-06-18T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-06-19T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-06-27T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-06-28T00:00:00","PRCP","GHCND:AR000875850",3,"","","S","","mm_tenths"
"2017-06-29T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-07-07T00:00:00","PRCP","GHCND:AR000875850",51,"D","","S","","mm_tenths"
"2017-07-08T00:00:00","PRCP","GHCND:AR000875850",391,"","","S","","mm_tenths"
"2017-07-09T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-07-10T00:00:00","PRCP","GHCND:AR000875850",310,"","","S","","mm_tenths"
"2017-07-11T00:00:00","PRCP","GHCND:AR000875850",20,"","","S","","mm_tenths"
"2017-07-12T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-07-14T00:00:00","PRCP","GHCND:AR000875850",3,"","","S","","mm_tenths"
"2017-07-15T00:00:00","PRCP","GHCND:AR000875850",30,"","","S","","mm_tenths"
"2017-07-16T00:00:00","PRCP","GHCND:AR000875850",99,"","","S","","mm_tenths"
"2017-07-17T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-07-24T00:00:00","PRCP","GHCND:AR000875850",119,"","","S","","mm_tenths"
"2017-07-25T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-07-26T00:00:00","PRCP","GHCND:AR000875850",51,"","","S","","mm_tenths"
"2017-07-27T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-07-31T00:00:00","PRCP","GHCND:AR000875850",30,"","","S","","mm_tenths"
"2017-08-01T00:00:00","PRCP","GHCND:AR000875850",10,"","","S","","mm_tenths"
"2017-08-02T00:00:00","PRCP","GHCND:AR000875850",5,"","","S","","mm_tenths"
"2017-08-03T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-08-08T00:00:00","PRCP","GHCND:AR000875850",61,"","","S","","mm_tenths"
"2017-08-09T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-08-11T00:00:00","PRCP","GHCND:AR000875850",221,"","","S","","mm_tenths"
"2017-08-12T00:00:00","PRCP","GHCND:AR000875850",61,"","","S","","mm_tenths"
"2017-08-13T00:00:00","PRCP","GHCND:AR000875850",10,"","","S","","mm_tenths"
"2017-08-14T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-08-19T00:00:00","PRCP","GHCND:AR000875850",99,"","","S","","mm_tenths"
"2017-08-20T00:00:00","PRCP","GHCND:AR000875850",5,"","","S","","mm_tenths"
"2017-08-21T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-08-24T00:00:00","PRCP","GHCND:AR000875850",10,"","","S","","mm_tenths"
"2017-08-25T00:00:00","PRCP","GHCND:AR000875850",30,"","","S","","mm_tenths"
"2017-08-26T00:00:00","PRCP","GHCND:AR000875850",201,"","","S","","mm_tenths"
"2017-08-27T00:00:00","PRCP","GHCND:AR000875850",5,"","","S","","mm_tenths"
"2017-08-28T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-08-29T00:00:00","PRCP","GHCND:AR000875850",30,"","","S","","mm_tenths"
"2017-08-30T00:00:00","PRCP","GHCND:AR000875850",3,"","","S","","mm_tenths"
"2017-08-31T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-09-03T00:00:00","PRCP","GHCND:AR000875850",20,"","","S","","mm_tenths"
"2017-09-04T00:00:00","PRCP","GHCND:AR000875850",79,"","","S","","mm_tenths"
"2017-09-05T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-09-09T00:00:00","PRCP","GHCND:AR000875850",480,"","","S","","mm_tenths"
"2017-09-10T00:00:00","PRCP","GHCND:AR000875850",589,"","","S","","mm_tenths"
"2017-09-11T00:00:00","PRCP","GHCND:AR000875850",249,"","","S","","mm_tenths"
"2017-09-12T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-09-21T00:00:00","PRCP","GHCND:AR000875850",99,"","","S","","mm_tenths"
"2017-09-22T00:00:00","PRCP","GHCND:AR000875850",160,"","","S","","mm_tenths"
"2017-09-23T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-09-27T00:00:00","PRCP","GHCND:AR000875850",201,"","","S","","mm_tenths"
"2017-09-28T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-10-01T00:00:00","PRCP","GHCND:AR000875850",490,"","","S","","mm_tenths"
"2017-10-02T00:00:00","PRCP","GHCND:AR000875850",61,"","","S","","mm_tenths"
"2017-10-03T00:00:00","PRCP","GHCND:AR000875850",3,"","","S","","mm_tenths"
"2017-10-04T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-10-09T00:00:00","PRCP","GHCND:AR000875850",5,"","","S","","mm_tenths"
"2017-10-10T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-10-11T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-10-12T00:00:00","PRCP","GHCND:AR000875850",150,"","","S","","mm_tenths"
"2017-10-13T00:00:00","PRCP","GHCND:AR000875850",10,"","","S","","mm_tenths"
"2017-10-14T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-10-19T00:00:00","PRCP","GHCND:AR000875850",99,"","","S","","mm_tenths"
"2017-10-20T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-10-21T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-10-22T00:00:00","PRCP","GHCND:AR000875850",20,"","","S","","mm_tenths"
"2017-10-23T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-10-24T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
